Epoch,Train Loss,Val Loss,Val Dice,Best Model,Dice Class 0,Dice Class 1,Dice Class 2,Dice Class 3,Dice Class 4,Dice Class 5,Dice Class 6,Dice Class 7
1,0.6646,0.3373,0.7734,YES,0.9872,0.8216,0.8168,0.4862,0.5669,0.8941,0.8313,0.7829
2,0.2195,0.1623,0.8766,YES,0.9909,0.8814,0.9056,0.8175,0.7553,0.9336,0.8733,0.8553
3,0.1775,0.1856,0.8589,,0.9884,0.8409,0.8741,0.7580,0.7518,0.9302,0.8788,0.8487
4,0.1549,0.1911,0.8453,,0.9917,0.7978,0.8179,0.7891,0.7239,0.9185,0.8688,0.8547
5,0.1456,0.1242,0.8889,YES,0.9921,0.8853,0.9195,0.8356,0.7850,0.9435,0.8882,0.8620
6,0.1250,0.1217,0.8899,YES,0.9921,0.8877,0.9171,0.8460,0.7913,0.9455,0.8815,0.8582
7,0.1160,0.1182,0.8910,YES,0.9923,0.8993,0.9244,0.8426,0.7789,0.9397,0.8884,0.8627
8,0.1132,0.1121,0.8949,YES,0.9924,0.9002,0.9284,0.8506,0.7933,0.9461,0.8917,0.8566
9,0.1091,0.1129,0.8938,,0.9922,0.8885,0.9257,0.8467,0.7882,0.9464,0.8951,0.8673
10,0.1054,0.1120,0.8939,YES,0.9925,0.8950,0.9274,0.8451,0.7862,0.9473,0.8961,0.8615
11,0.1039,0.1181,0.8878,,0.9921,0.8974,0.9147,0.8264,0.7715,0.9459,0.8961,0.8581
12,0.1003,0.1082,0.8970,YES,0.9925,0.8990,0.9242,0.8433,0.7952,0.9521,0.8973,0.8720
13,0.1061,0.1074,0.8997,YES,0.9925,0.9027,0.9298,0.8508,0.8046,0.9499,0.8942,0.8735
14,0.0989,0.1070,0.8981,YES,0.9926,0.9036,0.9306,0.8579,0.7852,0.9475,0.8936,0.8736
15,0.0942,0.1051,0.8986,YES,0.9923,0.9064,0.9329,0.8593,0.8162,0.9543,0.8704,0.8571
16,0.0891,0.0989,0.9060,YES,0.9930,0.9112,0.9346,0.8762,0.8097,0.9511,0.8967,0.8752
17,0.0858,0.1019,0.9051,,0.9918,0.8978,0.9349,0.8694,0.8257,0.9529,0.8952,0.8727
18,0.0836,0.0986,0.9066,YES,0.9932,0.9142,0.9368,0.8741,0.8187,0.9533,0.8854,0.8773
19,0.0798,0.0959,0.9092,YES,0.9931,0.9090,0.9365,0.8751,0.8280,0.9553,0.8999,0.8767
20,0.0787,0.0965,0.9075,,0.9932,0.9166,0.9397,0.8742,0.8098,0.9568,0.8986,0.8714
21,0.0740,0.1014,0.9073,,0.9923,0.9093,0.9348,0.8803,0.8185,0.9514,0.9053,0.8669
22,0.0710,0.0975,0.9091,,0.9931,0.9119,0.9342,0.8842,0.8160,0.9543,0.9024,0.8769
23,0.0759,0.0953,0.9120,YES,0.9932,0.9046,0.9297,0.8767,0.8389,0.9577,0.9095,0.8858
24,0.0701,0.0915,0.9163,YES,0.9937,0.9206,0.9430,0.8829,0.8378,0.9566,0.9069,0.8887
25,0.0673,0.1077,0.9073,,0.9933,0.8976,0.9222,0.8606,0.8313,0.9552,0.9102,0.8878
26,0.0664,0.0982,0.9124,,0.9933,0.9200,0.9431,0.8768,0.8420,0.9552,0.8887,0.8801
27,0.0609,0.0869,0.9218,YES,0.9942,0.9295,0.9477,0.8919,0.8342,0.9605,0.9191,0.8973
28,0.0542,0.0873,0.9226,,0.9941,0.9296,0.9491,0.9006,0.8371,0.9608,0.9167,0.8932
29,0.0509,0.0857,0.9283,YES,0.9941,0.9285,0.9523,0.9044,0.8589,0.9632,0.9224,0.9023
30,0.0481,0.0868,0.9281,,0.9944,0.9313,0.9500,0.9017,0.8570,0.9621,0.9196,0.9090
31,0.0506,0.0863,0.9279,,0.9946,0.9360,0.9489,0.8984,0.8620,0.9635,0.9225,0.8969
32,0.0455,0.0927,0.9263,,0.9946,0.9370,0.9463,0.9006,0.8464,0.9611,0.9234,0.9013
33,0.0461,0.0830,0.9325,YES,0.9945,0.9347,0.9526,0.9009,0.8667,0.9662,0.9315,0.9127
34,0.0411,0.0862,0.9321,,0.9948,0.9287,0.9525,0.9096,0.8690,0.9654,0.9206,0.9158
35,0.0394,0.0831,0.9353,,0.9948,0.9419,0.9544,0.9096,0.8582,0.9670,0.9391,0.9177
36,0.0632,3.4371,0.3036,,0.8966,0.4974,0.3084,0.1031,0.1056,0.3027,0.1515,0.0636
37,0.1962,0.2248,0.8209,,0.9887,0.7298,0.8184,0.7086,0.7441,0.9103,0.8473,0.8202
38,0.1493,0.1308,0.8771,,0.9922,0.8714,0.9079,0.8119,0.7502,0.9384,0.8851,0.8598
39,0.1188,0.1150,0.8927,,0.9921,0.9000,0.9244,0.8504,0.7842,0.9444,0.8857,0.8601
40,0.1101,0.1087,0.8958,,0.9925,0.8993,0.9249,0.8551,0.7779,0.9498,0.8963,0.8703
41,0.1075,0.1155,0.8895,,0.9924,0.8951,0.9250,0.8432,0.7508,0.9415,0.9011,0.8667
42,0.0982,0.1027,0.9016,,0.9928,0.9026,0.9303,0.8601,0.8021,0.9512,0.9008,0.8728
43,0.0906,0.1016,0.9035,,0.9927,0.9101,0.9341,0.8559,0.8149,0.9513,0.8969,0.8717
44,0.0855,0.0994,0.9047,,0.9928,0.9105,0.9374,0.8729,0.8083,0.9519,0.8925,0.8711
45,0.0791,0.0961,0.9101,,0.9929,0.9143,0.9387,0.8677,0.8266,0.9556,0.9048,0.8800
46,0.0727,0.0953,0.9115,,0.9932,0.9135,0.9404,0.8685,0.8294,0.9564,0.9101,0.8807
47,0.0674,0.0957,0.9132,,0.9932,0.9197,0.9442,0.8803,0.8318,0.9533,0.9050,0.8782
48,0.0631,0.0945,0.9144,,0.9935,0.9256,0.9438,0.8787,0.8373,0.9547,0.8905,0.8909
49,0.0581,0.0869,0.9225,,0.9938,0.9290,0.9491,0.8998,0.8479,0.9596,0.9097,0.8911
50,0.0530,0.0870,0.9265,,0.9940,0.9312,0.9518,0.9050,0.8557,0.9587,0.9185,0.8970
51,0.0486,0.0937,0.9233,,0.9942,0.9311,0.9512,0.8863,0.8465,0.9570,0.9181,0.9022
52,0.0466,0.0914,0.9247,,0.9944,0.9238,0.9454,0.9039,0.8485,0.9614,0.9240,0.8965
