Fold,Epoch,Train Loss,Train Acc,Val Loss,Val Acc,Best Model
1,1,0.4234,0.8143,0.3621,0.7222,YES
1,2,0.2397,0.9000,0.2697,0.9444,YES
1,3,0.1091,0.9571,0.1602,0.9444,
1,4,0.1870,0.9429,0.1265,0.9444,
1,5,0.0527,0.9857,0.1350,0.9444,
1,6,0.1662,0.9429,0.1459,0.8889,
1,7,0.0270,0.9857,0.0881,0.9444,
1,8,0.0287,1.0000,0.0596,0.9444,
1,9,0.0180,1.0000,0.0556,0.9444,
1,10,0.0284,1.0000,0.0166,1.0000,YES
1,11,0.0166,1.0000,0.0029,1.0000,
1,12,0.0097,1.0000,0.0016,1.0000,
1,13,0.0216,1.0000,0.0005,1.0000,
1,14,0.0026,1.0000,0.0006,1.0000,
1,15,0.0101,1.0000,0.0012,1.0000,
1,16,0.0417,0.9857,0.0008,1.0000,
1,17,0.0117,1.0000,0.0004,1.0000,
1,18,0.0068,1.0000,0.0003,1.0000,
1,19,0.0614,0.9571,0.0086,1.0000,
1,20,0.2662,0.9429,0.0033,1.0000,
1,21,0.0679,0.9714,0.0230,1.0000,
1,22,0.0893,0.9714,0.0114,1.0000,
1,23,0.0735,0.9714,0.0034,1.0000,
1,24,0.1071,0.9714,0.0111,1.0000,
1,25,0.0312,0.9857,0.0109,1.0000,
1,26,0.0347,0.9857,0.0002,1.0000,
1,27,0.1779,0.9571,0.0020,1.0000,
1,28,0.0456,0.9714,0.0075,1.0000,
1,29,0.0314,0.9857,0.0080,1.0000,
1,30,0.0588,0.9714,0.0028,1.0000,
2,1,0.4787,0.7714,0.4474,0.7778,YES
2,2,0.2433,0.9000,0.4558,0.7778,
2,3,0.0560,0.9857,0.2260,0.9444,YES
2,4,0.0280,1.0000,0.0793,1.0000,YES
2,5,0.0175,1.0000,0.0295,1.0000,
2,6,0.0259,0.9857,0.0191,1.0000,
2,7,0.1812,0.9143,0.0282,1.0000,
2,8,0.2017,0.9143,0.0195,1.0000,
2,9,0.0470,0.9857,0.0084,1.0000,
2,10,0.0584,0.9857,0.0034,1.0000,
2,11,0.0182,1.0000,0.0029,1.0000,
2,12,0.0186,1.0000,0.0026,1.0000,
2,13,0.0369,0.9857,0.0004,1.0000,
2,14,0.0040,1.0000,0.0003,1.0000,
2,15,0.0039,1.0000,0.0004,1.0000,
2,16,0.0028,1.0000,0.0003,1.0000,
2,17,0.0083,1.0000,0.0003,1.0000,
2,18,0.0040,1.0000,0.0004,1.0000,
2,19,0.0049,1.0000,0.0003,1.0000,
2,20,0.0060,1.0000,0.0002,1.0000,
2,21,0.0122,1.0000,0.0001,1.0000,
2,22,0.0017,1.0000,0.0014,1.0000,
2,23,0.0043,1.0000,0.0014,1.0000,
2,24,0.0045,1.0000,0.0010,1.0000,
2,25,0.0864,0.9714,0.0466,0.9444,
2,26,0.0951,0.9714,0.0041,1.0000,
2,27,0.0227,0.9857,0.0040,1.0000,
2,28,0.2985,0.8714,0.0742,1.0000,
2,29,0.0890,0.9571,0.0166,1.0000,
2,30,0.0860,0.9571,0.0034,1.0000,
3,1,0.4340,0.7714,0.6356,0.5000,YES
3,2,0.1626,0.9429,0.3764,0.6667,YES
3,3,0.2046,0.9429,0.4156,0.6667,
3,4,0.0771,0.9714,0.4057,0.7222,YES
3,5,0.0242,1.0000,0.2562,0.8889,YES
3,6,0.0065,1.0000,0.1086,0.9444,YES
3,7,0.0890,0.9714,0.0565,1.0000,YES
3,8,0.0107,1.0000,0.0254,1.0000,
3,9,0.0127,1.0000,0.0109,1.0000,
3,10,0.0555,0.9857,0.0359,1.0000,
3,11,0.0220,0.9857,0.0029,1.0000,
3,12,0.0198,1.0000,0.0019,1.0000,
3,13,0.0083,1.0000,0.0012,1.0000,
3,14,0.0061,1.0000,0.0004,1.0000,
3,15,0.0698,0.9714,0.0010,1.0000,
3,16,0.0381,0.9714,0.0045,1.0000,
3,17,0.0102,1.0000,0.0291,1.0000,
3,18,0.0092,1.0000,0.0259,1.0000,
3,19,0.0828,0.9714,0.1049,0.8889,
3,20,0.0524,0.9857,0.0083,1.0000,
3,21,0.0839,0.9571,0.0072,1.0000,
3,22,0.0298,1.0000,0.0086,1.0000,
3,23,0.0740,0.9571,0.0012,1.0000,
3,24,0.0142,1.0000,0.0040,1.0000,
3,25,0.0204,0.9857,0.0015,1.0000,
3,26,0.0012,1.0000,0.0009,1.0000,
3,27,0.1676,0.9571,0.0397,1.0000,
3,28,0.0477,0.9857,0.0014,1.0000,
3,29,0.0206,1.0000,0.0007,1.0000,
3,30,0.3523,0.9286,0.0007,1.0000,
4,1,0.4685,0.8028,0.3479,0.7647,YES
4,2,0.1677,0.9155,0.2667,0.7647,
4,3,0.0538,0.9859,0.2492,0.8235,YES
4,4,0.0301,1.0000,0.2628,0.8824,YES
4,5,0.0435,0.9859,0.3248,0.7059,
4,6,0.0384,0.9859,0.2682,0.8235,
4,7,0.0504,0.9859,0.0387,1.0000,YES
4,8,0.0300,1.0000,0.0810,1.0000,
4,9,0.0205,1.0000,0.0280,1.0000,
4,10,0.0144,1.0000,0.0037,1.0000,
4,11,0.0173,1.0000,0.0010,1.0000,
4,12,0.0181,1.0000,0.0009,1.0000,
4,13,0.0165,1.0000,0.0037,1.0000,
4,14,0.0303,0.9859,0.0016,1.0000,
4,15,0.0328,0.9859,0.0003,1.0000,
4,16,0.0136,0.9859,0.0002,1.0000,
4,17,0.0166,1.0000,0.0003,1.0000,
4,18,0.0901,0.9718,0.0011,1.0000,
4,19,0.0608,0.9859,0.0019,1.0000,
4,20,0.0101,1.0000,0.0011,1.0000,
4,21,0.0137,1.0000,0.0010,1.0000,
4,22,0.0594,0.9718,0.0003,1.0000,
4,23,0.0126,1.0000,0.0706,0.8824,
4,24,0.0035,1.0000,0.0394,1.0000,
4,25,0.1443,0.9577,0.0064,1.0000,
4,26,0.0875,0.9577,0.0044,1.0000,
4,27,0.0446,0.9718,0.0085,1.0000,
4,28,0.0093,1.0000,0.0016,1.0000,
4,29,0.0050,1.0000,0.0005,1.0000,
4,30,0.0018,1.0000,0.0004,1.0000,
5,1,0.4389,0.8028,0.4302,0.9412,YES
5,2,0.2555,0.9014,0.6248,0.6471,
5,3,0.1346,0.9718,0.6536,0.6471,
5,4,0.0762,0.9859,0.1737,1.0000,YES
5,5,0.0331,0.9859,0.2199,0.8824,
5,6,0.0224,1.0000,0.1538,1.0000,
5,7,0.0426,1.0000,0.0169,1.0000,
5,8,0.0091,1.0000,0.0063,1.0000,
5,9,0.0230,1.0000,0.0043,1.0000,
5,10,0.0557,0.9859,0.0062,1.0000,
5,11,0.0945,0.9437,0.0425,1.0000,
5,12,0.0239,0.9859,0.5293,0.7647,
5,13,0.0089,1.0000,0.2485,0.8824,
5,14,0.0386,0.9718,0.0033,1.0000,
5,15,0.0086,1.0000,0.0046,1.0000,
5,16,0.0600,0.9718,0.0022,1.0000,
5,17,0.0588,0.9859,0.0110,1.0000,
5,18,0.0256,0.9859,0.0087,1.0000,
5,19,0.0300,1.0000,0.0092,1.0000,
5,20,0.0064,1.0000,0.0200,1.0000,
5,21,0.0304,0.9859,0.0372,1.0000,
5,22,0.0322,0.9859,0.0074,1.0000,
5,23,0.0280,0.9859,0.0094,1.0000,
5,24,0.0013,1.0000,0.0313,1.0000,
5,25,0.0108,1.0000,0.0004,1.0000,
5,26,0.0174,1.0000,0.0004,1.0000,
5,27,0.0166,1.0000,0.0032,1.0000,
5,28,0.0016,1.0000,0.0055,1.0000,
5,29,0.0051,1.0000,0.0057,1.0000,
5,30,0.0062,1.0000,0.0054,1.0000,
